id	language	license	rightsHolder	datasetID	datasetName	ownerInstitutionCode	eventID	year	decimalLatitude	decimalLongitude
ALPS006	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	ALPS006	1992	42.48419952	1.7356
ALPS007	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	ALPS007	1992	42.4858017	1.73720002
ALPS011	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	ALPS011	1992	42.45809937	1.59640002
ALPS016	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	ALPS016	1992	42.65810013	1.39189994
ALPS017	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	ALPS017	1992	42.65219879	1.38499999
ALPS018	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	ALPS018	1992	42.71689987	1.33360004
ALPS019	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	ALPS019	1992	42.71279907	1.33329999
ALPS020	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	ALPS020	1992	42.71060181	1.34140003
ALPS021	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	ALPS021	1992	42.71720123	1.32560003
ALPS022	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	ALPS022	1992	42.7118988	1.32309997
ALPS023	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	ALPS023	1992	42.72219849	1.32529998
ALPS027	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	ALPS027	1992	42.54359818	1.03059995
ALPS029	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	ALPS029	1992	42.54219818	1.02530003
ALPS030	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	ALPS030	1992	42.54470062	1.03719997
ALPS042	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	ALPS042	1992	42.53219986	1.00750005
ALPS055	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	ALPS055	1992	42.58250046	0.9594
ALPS058	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	ALPS058	1992	42.62170029	0.93059999
ALPS060	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	ALPS060	1992	42.62060165	0.93690002
ALPS061	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	ALPS061	1992	42.62189865	0.93470001
ALPS062	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	ALPS062	1992	42.62580109	0.9339
ALPS070	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	ALPS070	1992	42.80690002	0.87529999
ALPS079	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	ALPS079	1992	42.60029984	0.90670002
ALPS081	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	ALPS081	1992	42.62080002	0.87580001
ALPS083	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	ALPS083	1992	42.6128006	0.86610001
ALPS085	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	ALPS085	1992	42.62310028	0.88940001
ALPS087	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	ALPS087	1992	42.61059952	0.8786
ALPS089	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	ALPS089	1992	42.60309982	0.87529999
ALPU001	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	ALPU001	1993	42.71300125	1.33299995
ALPU002	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	ALPU002	1993	42.73699951	1.27199996
ALPU003	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	ALPU003	1993	79.66670227	10.80000019
ALPU004	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	ALPU004	1991	42.74560165	1.33329999
ALPU005	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	ALPU005	1993	37.04999924	-3.03329992
ALPU006	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	ALPU006	1993	67.91670227	32.5
ALPU007	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	ALPU007	1993	40.26670074	-1.61389995
ALPU009	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	ALPU009	1993	40.33300018	-7.6170001
ALPU010	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	ALPU010	1993	45.08200073	6.52299976
ALPU011	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	ALPU011	1993	46.72669983	11.08329964
ALPU012	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	ALPU012	1993	54.98860168	-8.11670017
ALPU013	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	ALPU013	1993	46.7256012	11.07250023
ALPU014	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	ALPU014	1993	56.95809937	-3.21799994
ALPU015	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	ALPU015	1993	56.95299911	-3.26749992
ALPU016	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	ALPU016	1993	45.42300034	7.125
