institutionCode,Acronym,Catalogue number,occurrenceID,genus,scientificName,scientificNameAuthorship,kingdom,scientificName_recon,identificationRemarks,Year,class,Subclassis,Order,otherCatalogNumber,individualCount,typestatus,sex,locality,Country,geoReferenceRemarks,decimalLatitude,decimalLongitude,eventDate,Reference,disposition,Phylum
Ugent,UGMD,102684,UgentUGMD102684,Boleodorus,"Boleodorus volutus Lima & Siddiqi, 1963","Lima & Siddiqi, 1963",Animalia,"Boleodorus volutus Lima & Siddiqi, 1963 (Animalia)",collection and data is currently is under review,unknown,Chromadorea,Chromadoria,Rhabditida,ZIRUG 2684,1,,,Z 38 ,,only georeferenced to country level,,,1970-03-14T23:00:00Z,,in collection,Nematoda
Ugent,UGMD,102685,UgentUGMD102685,Meloidogyne,"Meloidogyne arenaria (Neal, 1889)"," (Neal, 1889)",Animalia,"Meloidogyne arenaria  (Neal, 1889) (Animalia)",collection and data is currently is under review,unknown,Chromadorea,Chromadoria,Rhabditida,ZIRUG2685,13,,,Taegucity on Begonia 139 ,South Korea,only georeferenced to country level,,,1968-01-23T23:00:00Z,,in collection,Nematoda
Ugent,UGMD,102686,UgentUGMD102686,Meloidogyne,"Meloidogyne arenaria (Neal, 1889)"," (Neal, 1889)",Animalia,"Meloidogyne arenaria  (Neal, 1889) (Animalia)",collection and data is currently is under review,unknown,Chromadorea,Chromadoria,Rhabditida,ZIRUG2686,13,,,Taegucity on Pursatila korzaner Nakai 134 ,South Korea,only georeferenced to country level,,,1969-03-11T23:00:00Z,,in collection,Nematoda
Ugent,UGMD,102687,UgentUGMD102687,Anguina,,,,Anguina artemisia,collection and data is currently is under review,unknown,Chromadorea,Chromadoria,Rhabditida,ZIRUG2687,4,,,Taeges ,,only georeferenced to country level,,,1968-09-27T23:00:00Z,,in collection,Nematoda
Ugent,UGMD,102688,UgentUGMD102688,Anguina,,,,Anguina artemisia,collection and data is currently is under review,unknown,Chromadorea,Chromadoria,Rhabditida,ZIRUG2688,17,,,,,only georeferenced to country level,,,1968-01-24T23:00:00Z,,in collection,Nematoda
Ugent,UGMD,102689,UgentUGMD102689,Anguina,Anguina millefolii,,,Anguina millefolii [=> Subanguina millefolii] (Life),collection and data is currently is under review,unknown,Chromadorea,Chromadoria,Rhabditida,ZIRUG2689,4,,,,England,only georeferenced to country level,52.3555177,-1.1743197,1970-06-14T23:00:00Z,,in collection,Nematoda
Ugent,UGMD,102690,UgentUGMD102690,Anguina,Anguina millefolii,,,Anguina millefolii [=> Subanguina millefolii] (Life),collection and data is currently is under review,unknown,Chromadorea,Chromadoria,Rhabditida,ZIRUG2690,3+ 1 gebroken exemplaar van dezelfde soort,,,,England,only georeferenced to country level,52.3555177,-1.1743197,1970-06-14T23:00:00Z,,in collection,Nematoda
Ugent,UGMD,102691,UgentUGMD102691,Scutellonema,"Scutellonema unum Sher, 1964","Sher, 1964",Animalia,"Scutellonema unum Sher, 1964 (Animalia)",collection and data is currently is under review,unknown,Chromadorea,Chromadoria,Rhabditida,ZIRUG2691,7,,,Chung Song on bean ,,only georeferenced to country level,,,1970-03-14T23:00:00Z,,in collection,Nematoda
Ugent,UGMD,102692,UgentUGMD102692,Helicotylenchus,"Helicotylenchus pseudorobustus (Steiner, 1914)"," (Steiner, 1914)",Animalia,"Helicotylenchus pseudorobustus  (Steiner, 1914) (Animalia)",collection and data is currently is under review,unknown,Chromadorea,Chromadoria,Rhabditida,ZIRUG2692,4,,,"Taegucity, Persimmon, Kopea ",South Korea,only georeferenced to country level,,,1970-03-14T23:00:00Z,,in collection,Nematoda
Ugent,UGMD,102693,UgentUGMD102693,Tylenchorhynchus,"Tylenchorhynchus nudus Allen, 1955","Allen, 1955",Animalia,"Tylenchorhynchus nudus Allen, 1955 (Animalia)",collection and data is currently is under review,unknown,Chromadorea,Chromadoria,Rhabditida,ZIRUG2693,10,,,Persimmon ,,only georeferenced to country level,,,1968-11-24T23:00:00Z,,in collection,Nematoda
